n	x	y	
739	-73.9673288	40.8011124	;
740	-73.9672119	40.8105536	;
741	-73.9671748	40.7667142	;
742	-73.967152	40.756766	;
743	-73.967039	40.772461	;
744	-73.9669869	40.752388	;
745	-73.9669797	40.7609093	;
746	-73.9669476	40.7666184	;
747	-73.966794	40.8042094	;
748	-73.9667158	40.7673389	;
749	-73.966702	40.757381	;
750	-73.9666537	40.7532797	;
751	-73.9666206	40.7722846	;
752	-73.9666191	40.8041373	;
753	-73.9665981	40.7615694	;
754	-73.9665687	40.753244	;
755	-73.9664877	40.7672427	;
756	-73.9661437	40.8006155	;
757	-73.9661119	40.7621957	;
758	-73.9657046	40.8004313	;
759	-73.9654448	40.7659843	;
760	-73.9654336	40.7717839	;
761	-73.965291	40.7593108	;
762	-73.9649892	40.7666073	;
763	-73.9648784	40.7591358	;
764	-73.9647985	40.7599854	;
765	-73.964786	40.755756	;
766	-73.9647071	40.7916741	;
767	-73.964501	40.7589757	;
768	-73.964424	40.810755	;
769	-73.9643309	40.7606332	;
770	-73.9641881	40.792384	;
771	-73.9641336	40.7608946	;
772	-73.9640192	40.7529089	;
773	-73.964019	40.811331	;
774	-73.9639328	40.8125399	;
775	-73.9639315	40.7770899	;
776	-73.9639165	40.771144	;
777	-73.9639111	40.7612123	;
778	-73.9638672	40.8029837	;
779	-73.9638433	40.7653085	;
780	-73.9637494	40.7770004	;
781	-73.9636829	40.7710455	;
782	-73.9633881	40.7659323	;
783	-73.9629232	40.7600363	;
784	-73.9629223	40.7583127	;
785	-73.962876	40.7992369	;
786	-73.9628103	40.7917186	;
787	-73.9627815	40.7815298	;
788	-73.962468	40.7990646	;
789	-73.9624219	40.7598242	;
790	-73.9622107	40.7704245	;
791	-73.9621508	40.7763235	;
792	-73.9619593	40.7596178	;
793	-73.9619239	40.7551764	;
794	-73.9618737	40.7988136	;
795	-73.96179	40.818025	;
796	-73.9616082	40.7643653	;
797	-73.9615093	40.7602403	;
798	-73.9614743	40.798645	;
799	-73.9613747	40.7802227	;
800	-73.9612589	40.8185083	;
801	-73.9612132	40.8168177	;
802	-73.9612059	40.8159903	;
803	-73.9611683	40.8168846	;
804	-73.9611475	40.7649877	;
805	-73.9610904	40.798485	;
806	-73.9610636	40.7608639	;
807	-73.9610568	40.8017903	;
808	-73.961038	40.818704	;
809	-73.9609186	40.7808558	;
810	-73.9608452	40.8070867	;
811	-73.960671	40.757364	;
812	-73.9606194	40.775675	;
813	-73.9606044	40.769747	;
814	-73.9605889	40.7614885	;
815	-73.9605114	40.8075439	;
816	-73.9604588	40.8180399	;
817	-73.9604245	40.7982075	;
818	-73.9604135	40.7815447	;
819	-73.9603796	40.7755735	;
820	-73.9601308	40.7621165	;
821	-73.96004	40.7980472	;
822	-73.9599867	40.8175386	;
823	-73.959722	40.758663	;
824	-73.9596364	40.8011516	;
825	-73.959493	40.817007	;
826	-73.9592537	40.7593048	;
827	-73.9592062	40.8093313	;
828	-73.9590858	40.7993575	;
829	-73.9589319	40.8163963	;
830	-73.9588917	40.7749718	;
831	-73.9588106	40.7808689	;
832	-73.958809	40.759913	;
833	-73.958781	40.76399	;
834	-73.9587153	40.8100035	;
835	-73.958632	40.7999881	;
836	-73.9584918	40.8006694	;
837	-73.9583909	40.8158075	;
838	-73.9583831	40.7590213	;
839	-73.9583631	40.7688015	;
840	-73.9583477	40.7605433	;
841	-73.9583399	40.8003728	;
842	-73.9582483	40.815657	;
843	-73.9580836	40.8209669	;
